Name,X1,X2,M,Lp,Formation(SCAN),Formation(PBE),Energy,above,hull,Elastic,constant,Band,gap,(PBE),Band,gap,(GW)
OH-O-Rh,OH,O,Rh,,,0.844651192,,,,,,,,,,,
OH-O-Ru,OH,O,Ru,,,0.803266135,,,,,,,,,,,
OH-O-Sc,OH,O,Sc,,,2.716629347,,,,,,,,,,,
OH-O-Sm,OH,O,Sm,,,2.63517754,,,,,,,,,,,
OH-O-Y,OH,O,Y,,,2.736906235,,,,,,,,,,,
O-O-Ce,O,O,Ce,,,3.489876093,,,,,,,,,,,
O-O-Ge,O,O,Ge,,,1.67664236,,,,,,,,,,,
O-O-Hf,O,O,Hf,,,3.616516533,,,,,,,,,,,
O-O-Ir,O,O,Ir,,,0.620034377,,,,,,,,,,,
O-O-Mo,O,O,Mo,,,1.6936549,,,,,,,,,,,
O-O-Os,O,O,Os,,,0.56374549,,,,,,,,,,,
O-O-Pd,O,O,Pd,,,0.538861797,,,,,,,,,,,
O-O-Pt,O,O,Pt,,,0.680487687,,,,,,,,,,,
O-O-Re,O,O,Re,,,1.037162353,,,,,,,,,,,
O-O-Ru,O,O,Ru,,,0.943820393,,,,,,,,,,,
O-O-Sn,O,O,Sn,,,1.65742134,,,,,,,,,,,
O-O-Tc,O,O,Tc,,,1.463623847,,,,,,,,,,,
O-O-Te,O,O,Te,,,0.64752092,,,,,,,,,,,
O-O-Ti,O,O,Ti,,,3.20106069,,,,,,,,,,,
O-O-W,O,O,W,,,1.677554023,,,,,,,,,,,
O-O-Zr,O,O,Zr,,,3.53530104,,,,,,,,,,,
NH-OH-Bi,NH,OH,Bi,,,0.311334838,,,,,,,,,,,
NH-OH-Ce,NH,OH,Ce,,,1.461168738,,,,,,,,,,,
NH-OH-Gd,NH,OH,Gd,,,1.445005934,,,,,,,,,,,
NH-OH-La,NH,OH,La,,,1.471963264,,,,,,,,,,,
NH-OH-Nd,NH,OH,Nd,,,1.440855868,,,,,,,,,,,
NH-OH-Y,NH,OH,Y,,,1.561544658,,,,,,,,,,,
